sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
162,0.01,3937,3768,169,,0.9858356940509915,0.9589235127478754,0.950897072710104,0.9546742209631728,0.9467422096317293
163,0.01,653,634,19,,0.956140350877193,0.9407894736842105,0.9502923976608183,0.9385964912280702,0.9298245614035096
164,0.01,810,532,278,,0.9471544715447154,0.8902439024390244,0.9010840108401075,0.8953252032520326,0.9032520325203263
165,0.01,1665,1447,218,,0.9581993569131833,0.9340836012861736,0.9131832797427656,0.9188102893890675,0.915112540192928
166,0.01,2,,,truncated_max_new_tokens,,,,,
167,0.01,1868,1261,607,,0.9348534201954397,0.9071661237785016,0.8946796959826268,0.8900651465798045,0.8951140065146602
168,0.01,787,760,27,,0.9657320872274143,0.9485981308411215,0.9449636552440294,0.9454828660436138,0.9489096573208734
169,0.01,630,140,490,,0.75,0.6643835616438356,0.626712328767123,0.6053082191780822,0.6006849315068492
170,0.01,276,89,187,,0.875,0.8392857142857143,0.8333333333333333,0.8348214285714286,0.8285714285714283
171,0.01,2,,,truncated_max_new_tokens,,,,,
172,0.01,710,416,294,,0.9252873563218391,0.9454022988505747,0.9233716475095783,0.9066091954022989,0.9241379310344832
173,0.01,2,,,truncated_max_new_tokens,,,,,
174,0.01,590,428,162,,0.9127906976744186,0.8633720930232558,0.8643410852713178,0.8619186046511628,0.8674418604651161
175,0.01,2967,1871,1096,,0.9486404833836858,0.9199395770392749,0.8992950654582075,0.8851963746223565,0.8882175226586123
176,0.01,457,252,205,,0.927536231884058,0.8840579710144928,0.8550724637681164,0.8387681159420289,0.8420289855072453
177,0.01,2,,,truncated_max_new_tokens,,,,,
178,0.01,869,785,84,,0.9897959183673469,0.9506802721088435,0.9489795918367343,0.9498299319727891,0.9448979591836753
179,0.01,776,508,268,,0.9595588235294118,0.9172794117647058,0.9178921568627444,0.9007352941176471,0.9125000000000016
180,0.01,517,181,336,,0.9244186046511628,0.7848837209302325,0.781007751937985,0.7761627906976745,0.7976744186046503
181,0.01,4477,3750,727,,0.952076677316294,0.9009584664536742,0.9073482428115013,0.8865814696485623,0.8869009584664553
182,0.01,3251,2296,955,,0.9678714859437751,0.9076305220883534,0.9009370816599722,0.9016064257028112,0.9028112449799205
183,0.01,833,684,149,,0.9758064516129032,0.9254032258064516,0.9260752688172039,0.90625,0.9137096774193557
184,0.01,2,,,truncated_max_new_tokens,,,,,
185,0.01,415,299,116,,0.8969072164948454,0.8556701030927835,0.8316151202749141,0.8195876288659794,0.8412371134020612
186,0.01,532,499,33,,0.9705882352941176,0.9338235294117647,0.9313725490196082,0.9136029411764706,0.9191176470588227
187,0.01,2,,,truncated_max_new_tokens,,,,,
188,0.01,397,267,130,,0.925,0.8791666666666667,0.855555555555556,0.8541666666666666,0.8583333333333326
189,0.01,747,621,126,,0.9886792452830189,0.9358490566037736,0.9371069182389932,0.9245283018867925,0.9245283018867937
190,0.01,2,,,truncated_max_new_tokens,,,,,
191,0.01,2,,,truncated_max_new_tokens,,,,,
192,0.01,1047,348,699,,0.9542682926829268,0.8704268292682927,0.8414634146341459,0.8140243902439024,0.815243902439026
193,0.01,693,584,109,,0.9568345323741008,0.9262589928057554,0.9148681055155866,0.908273381294964,0.9064748201438865
194,0.01,1124,765,359,,0.9521276595744681,0.851063829787234,0.8758865248226946,0.8856382978723404,0.885106382978724
195,0.01,426,367,59,,0.9027027027027027,0.8810810810810811,0.8486486486486486,0.8540540540540541,0.841081081081081
196,0.01,271,175,96,,0.9565217391304348,0.8913043478260869,0.8550724637681156,0.8768115942028986,0.8898550724637675
197,0.01,841,523,318,,0.9129287598944591,0.8588390501319261,0.8311345646437999,0.8364116094986808,0.8316622691292905
198,0.01,1129,739,390,,0.9640718562874252,0.9261477045908184,0.8902195608782449,0.8887225548902196,0.9061876247505016
199,0.01,2,,,truncated_max_new_tokens,,,,,
200,0.01,640,351,289,,0.9380530973451328,0.8716814159292036,0.8702064896755152,0.8683628318584071,0.8743362831858417
201,0.01,6259,4461,1798,,0.9700272479564033,0.9264305177111717,0.9155313351498645,0.9182561307901907,0.9144414168937354
202,0.01,632,349,283,,0.941747572815534,0.8980582524271845,0.8883495145631065,0.8810679611650486,0.8873786407766998
203,0.01,472,362,110,,0.9399141630901288,0.9463519313304721,0.9241773962804001,0.9302575107296137,0.9133047210300437
204,0.01,1033,746,287,,0.927038626609442,0.869098712446352,0.8569384835479247,0.8680257510729614,0.8686695278969974
205,0.01,2,,,truncated_max_new_tokens,,,,,
206,0.01,818,630,188,,0.9451476793248945,0.8945147679324894,0.9184247538677912,0.8997890295358649,0.9054852320675117
207,0.01,2,,,truncated_max_new_tokens,,,,,
208,0.01,519,303,216,,0.9358974358974359,0.875,0.8589743589743595,0.8589743589743589,0.8705128205128202
